time,time1,width,height,frame_id,filename,angle_convert,angle_smooth,angle_smooth_convert,brake_input,gear_cmd,curv1,curv1_l/r_qin,curv1_l/r_qin_atan,,curv6,curv6_l/r_qin,curv6_l/r_qin_atan,angle
,,,,,image/1.jpg,-0.058882314,,,,,-0.000317849,-0.086391404,-0.086177435,,-0.000553614,-0.150472299,-0.149351822,-0.058882314
,,,,,image/2.jpg,-0.080092646,,,,,-0.000553614,-0.150472299,-0.149351822,,-0.000635415,-0.172705786,-0.171018761,-0.080092646
,,,,,image/3.jpg,-0.091656402,,,,,-0.000635415,-0.172705786,-0.171018761,,-0.000728993,-0.198140403,-0.195606848,-0.091656402
,,,,,image/4.jpg,-0.090776836,,,,,-0.000728993,-0.198140403,-0.195606848,,-0.000622093,-0.169084766,-0.167500496,-0.090776836
,,,,,image/5.jpg,-0.083843812,,,,,-0.000622093,-0.169084766,-0.167500496,,-0.000623509,-0.169469745,-0.167874751,-0.083843812
,,,,,image/6.jpg,-0.094648174,,,,,-0.000623509,-0.169469745,-0.167874751,,-0.00078695,-0.21389312,-0.210717945,-0.094648174
,,,,,image/7.jpg,-0.107489302,,,,,-0.00078695,-0.21389312,-0.210717945,,-0.000819797,-0.222820781,-0.219239265,-0.107489302
,,,,,image/8.jpg,-0.105767994,,,,,-0.000819797,-0.222820781,-0.219239265,,-0.000760498,-0.206703362,-0.203832713,-0.105767994
,,,,,image/9.jpg,-0.123923286,,,,,-0.000760498,-0.206703362,-0.203832713,,-0.001105372,-0.300440017,-0.291860431,-0.123923286
,,,,,image/10.jpg,-0.168309463,,,,,-0.001105372,-0.300440017,-0.291860431,,-0.001475389,-0.401010763,-0.38137742,-0.168309463
,,,,,image/11.jpg,-0.187233569,,,,,-0.001475389,-0.401010763,-0.38137742,,-0.001416686,-0.385055131,-0.367556855,-0.187233569
,,,,,image/12.jpg,-0.174490725,,,,,-0.001416686,-0.385055131,-0.367556855,,-0.001261879,-0.342978614,-0.330406045,-0.174490725
,,,,,image/13.jpg,-0.178256751,,,,,-0.001261879,-0.342978614,-0.330406045,,-0.001480703,-0.402454994,-0.382620958,-0.178256751
,,,,,image/14.jpg,-0.211146199,,,,,-0.001480703,-0.402454994,-0.382620958,,-0.001831851,-0.497897057,-0.46196384,-0.211146199
,,,,,image/15.jpg,-0.224673227,,,,,-0.001831851,-0.497897057,-0.46196384,,-0.001717405,-0.466790774,-0.436729068,-0.224673227
,,,,,image/16.jpg,-0.191542731,,,,,-0.001717405,-0.466790774,-0.436729068,,-0.001257915,-0.34190136,-0.329441856,-0.191542731
,,,,,image/17.jpg,-0.142053946,,,,,-0.001257915,-0.34190136,-0.329441856,,-0.000895576,-0.243417597,-0.23877393,-0.142053946
,,,,,image/18.jpg,-0.116931106,,,,,-0.000895576,-0.243417597,-0.23877393,,-0.000857383,-0.23303659,-0.228950493,-0.116931106
,,,,,image/19.jpg,-0.114671266,,,,,-0.000857383,-0.23303659,-0.228950493,,-0.000860425,-0.2338634,-0.229734572,-0.114671266
,,,,,image/20.jpg,-0.119376439,,,,,-0.000860425,-0.2338634,-0.229734572,,-0.000930718,-0.252969135,-0.247771185,-0.119376439
,,,,,image/21.jpg,-0.141340251,,,,,-0.000930718,-0.252969135,-0.247771185,,-0.001209406,-0.328716669,-0.317589818,-0.141340251
,,,,,image/22.jpg,-0.18242365,,,,,-0.001209406,-0.328716669,-0.317589818,,-0.0016083,-0.437135881,-0.41210478,-0.18242365
,,,,,image/23.jpg,-0.223686839,,,,,-0.0016083,-0.437135881,-0.41210478,,-0.001927794,-0.523974287,-0.482642575,-0.223686839
,,,,,image/24.jpg,-0.244791214,,,,,-0.001927794,-0.523974287,-0.482642575,,-0.001993361,-0.541795403,-0.496522281,-0.244791214
,,,,,image/25.jpg,-0.236489282,,,,,-0.001993361,-0.541795403,-0.496522281,,-0.001774681,-0.482358227,-0.449434846,-0.236489282
,,,,,image/26.jpg,-0.220969731,,,,,-0.001774681,-0.482358227,-0.449434846,,-0.001707178,-0.464010859,-0.434444078,-0.220969731
,,,,,image/27.jpg,-0.209630654,,,,,-0.001707178,-0.464010859,-0.434444078,,-0.001573249,-0.427609142,-0.404078537,-0.209630654
,,,,,image/28.jpg,-0.168990307,,,,,-0.001573249,-0.427609142,-0.404078537,,-0.001025703,-0.278786091,-0.271882691,-0.168990307
,,,,,image/29.jpg,-0.125401323,,,,,-0.001025703,-0.278786091,-0.271882691,,-0.000860378,-0.233850773,-0.2297226,-0.125401323
