index,timestamp,width,height,frame_id,filename,angle,torque,speed,lat,long,alt,brake_input,gear_state,gear_cmd,throttle_input,ax,ay,az
43:22.2,1.47943E+18,640,480,center_camera,center/1479426202229245710.jpg,0.005235988,-0.125,25.61562584,37.51987076,-122.3309402,114.0671839,0.14750428,4,0,0.288238762,0.05,0.115134071,10.27567035
43:22.3,1.47943E+18,640,480,center_camera,center/1479426202278926539.jpg,0.005235988,-0.125,25.63270199,37.5198822,-122.3309479,114.0410121,0.147416793,4,0,0.275418514,0.092145233,0.120726167,10.11633589
43:22.3,1.47943E+18,640,480,center_camera,center/1479426202329043915.jpg,0.005235988,-0.086458803,25.65875018,37.51988983,-122.3309555,114.0125171,0.146866022,4,0,0.253001316,0.133119711,0.036239423,9.822378049
43:22.4,1.47943E+18,640,480,center_camera,center/1479426202378972324.jpg,0.003716112,-0.241926551,25.67356406,37.51990128,-122.3309631,113.9860521,0.147199991,4,0,0.230864768,0.0780198,0.096039599,9.829802004
43:22.4,1.47943E+18,640,480,center_camera,center/1479426202429056874.jpg,0.001745329,-0.226684407,25.68714745,37.51991272,-122.3309708,113.9608927,0.146745958,4,0,0.214447575,0.067939127,-0.015878254,9.751217457
43:22.5,1.47943E+18,640,480,center_camera,center/1479426202478987891.jpg,0.001745329,-0.241947799,25.69928494,37.5199214,-122.3309729,113.9344023,0.147441287,4,0,0.208847003,0.03346293,0.034805605,9.775370703
43:22.5,1.47943E+18,640,480,center_camera,center/1479426202529708267.jpg,0.001745329,-0.25,25.7038964,37.51993179,-122.3309784,113.8996476,0.146967718,4,0,0.203489026,0.015019446,0.03,9.394902768
43:22.6,1.47943E+18,640,480,center_camera,center/1479426202579079291.jpg,0,-0.304389752,25.71666718,37.51994324,-122.330986,113.8688002,0.147316367,4,0,0.201318784,0,-0.093265724,9.72632862
43:22.6,1.47943E+18,640,480,center_camera,center/1479426202629075076.jpg,-0.002378091,-0.397659097,25.73357765,37.51995202,-122.3309937,113.8381332,0.147321818,4,0,0.199282825,0.004860339,-0.028379887,9.81
43:22.7,1.47943E+18,640,480,center_camera,center/1479426202679075789.jpg,-0.005235988,-0.4375,25.74922786,37.51996231,-122.3310013,113.8134341,0.147149504,4,0,0.195093149,0.054059585,-0.061353195,9.664127806
43:22.7,1.47943E+18,640,480,center_camera,center/1479426202729031552.jpg,-0.006981317,-0.353101059,25.76666641,37.51997375,-122.3310089,113.8022008,0.146870881,4,0,0.193461023,0.10678764,-0.084283147,9.899292134
43:22.8,1.47943E+18,640,480,center_camera,center/1479426202779152417.jpg,-0.008477623,-0.303582515,25.76904728,37.5199852,-122.3310165,113.7701062,0.147053034,4,0,0.186130794,0.037499941,-0.11874997,9.622500297
43:22.8,1.47943E+18,640,480,center_camera,center/1479426202829103598.jpg,-0.008726646,-0.3125,25.76847685,37.51999283,-122.3310242,113.7377751,0.147608429,4,0,0.181351478,0.022534689,-0.177511563,9.61
43:22.9,1.47943E+18,640,480,center_camera,center/1479426202879080367.jpg,-0.010200389,-0.4375,25.77691405,37.52000427,-122.3310318,113.7023938,0.146901802,4,0,0.181404471,-0.033972902,-0.074018065,9.61
43:22.9,1.47943E+18,640,480,center_camera,center/1479426202929117931.jpg,-0.010471975,-0.396328044,25.78245174,37.52001572,-122.3310394,113.6773638,0.147043432,4,0,0.1811514,-0.040969068,-0.178061863,9.82938137
43:23.0,1.47943E+18,640,480,center_camera,center/1479426202979127588.jpg,-0.011936515,-0.322555033,25.79910567,37.52002335,-122.3310471,113.6620952,0.146906575,4,0,0.182412658,-0.070821554,-0.240821554,10.27617494
43:23.0,1.47943E+18,640,480,center_camera,center/1479426203029076104.jpg,-0.012217305,-0.208875958,25.81385301,37.52003479,-122.3310547,113.6297615,0.14690906,4,0,0.183258117,-0.027865782,-0.18355703,10.2
43:23.1,1.47943E+18,640,480,center_camera,center/1479426203079134216.jpg,-0.010770076,-0.010674927,25.82222176,37.52004623,-122.331057,113.6033382,0.147141269,4,0,0.194444663,-0.021569625,-0.318953583,10.78476792
43:23.1,1.47943E+18,640,480,center_camera,center/1479426203129104692.jpg,-0.010471975,0.104733098,25.82687733,37.52005502,-122.3310623,113.5708211,0.147061871,4,0,0.204128662,0.080869788,-0.291304682,10.29130212
43:23.2,1.47943E+18,640,480,center_camera,center/1479426203179161718.jpg,-0.010471975,0.085787334,25.81944466,37.52006531,-122.3310699,113.5398334,0.147165504,4,0,0.206962922,-0.019347701,-0.250978449,10.1967385
43:23.2,1.47943E+18,640,480,center_camera,center/1479426203229160781.jpg,-0.008726646,0.164846346,25.81211743,37.52007675,-122.3310776,113.510975,0.147194889,4,0,0.207627357,0.080252311,-0.368486133,9.812523112
43:23.3,1.47943E+18,640,480,center_camera,center/1479426203279130121.jpg,-0.006981317,0.238376646,25.80781598,37.5200882,-122.3310852,113.4885074,0.147362765,4,0,0.204128653,-0.000142173,-0.30042652,9.712843466
43:23.3,1.47943E+18,640,480,center_camera,center/1479426203329201591.jpg,-0.003490658,0.254464455,25.80277824,37.52009583,-122.3310928,113.4678228,0.146934406,4,0,0.192212636,0.020054571,-0.269890859,10.09787175
43:23.4,1.47943E+18,640,480,center_camera,center/1479426203379130314.jpg,-0.001745329,0.199749081,25.80833244,37.52010727,-122.3311005,113.4437136,0.146991109,4,0,0.178819787,0,-0.289895913,9.523018521
43:23.4,1.47943E+18,640,480,center_camera,center/1479426203429157104.jpg,-0.001745329,0.099736329,25.80277824,37.52011871,-122.3311081,113.4186584,0.146969671,4,0,0.175204281,0.149613804,-0.329227609,9.423668858
43:23.5,1.47943E+18,640,480,center_camera,center/1479426203479290524.jpg,-0.001745329,0.174912744,25.80055892,37.52012766,-122.3311157,113.3894675,0.147127584,4,0,0.173128811,0.009713906,-0.320572188,9.425435782
43:23.5,1.47943E+18,640,480,center_camera,center/1479426203529152590.jpg,-0.001745329,0.0625,25.79999924,37.52013779,-122.3311234,113.3622652,0.146632527,4,0,0.173192618,0.22729789,-0.26,9.81
43:23.6,1.47943E+18,640,480,center_camera,center/1479426203579134753.jpg,-0.001745329,0.0625,25.80218996,37.52014923,-122.331131,113.3327425,0.147381191,4,0,0.172811606,0.022934017,-0.33176041,9.721736067
43:23.6,1.47943E+18,640,480,center_camera,center/1479426203629088360.jpg,-0.001251456,0.205185534,25.79287283,37.52015791,-122.3311386,113.2996181,0.146853506,4,0,0.172655836,0.169281605,-0.512816055,9.98126422
